id,full_name,email,role,team_id,joined_at
cabcd787-74a4-4d74-83e3-e561d40fc77d,Aarav Patel,aarav.patel@acmesystems.com,Senior Backend Engineer,e8820255-60bf-490b-80d2-65240a9a7286,2024-07-15T10:00:00
e1497f4f-d66c-4a2a-80f6-cbfcdfee7c99,Sofia Martinez,sofia.martinez@acmesystems.com,Backend Engineer,e8820255-60bf-490b-80d2-65240a9a7286,2024-08-01T09:00:00
97e1d9f3-0224-4258-8905-5c58a7c8f042,Chen Wei,chen.wei@acmesystems.com,Staff Engineer,e8820255-60bf-490b-80d2-65240a9a7286,2024-06-10T08:30:00
1246f764-9c07-4e3f-8175-4c36d6a26714,Priya Sharma,priya.sharma@acmesystems.com,Backend Engineer,e8820255-60bf-490b-80d2-65240a9a7286,2024-09-05T10:15:00
cac3b087-6987-4016-bc1d-53de0d26fc5c,Marcus Johnson,marcus.johnson@acmesystems.com,Principal Engineer,e8820255-60bf-490b-80d2-65240a9a7286,2024-05-20T09:00:00
d3d7cddf-1a72-4ef0-9a34-81acf7fe5e6c,Emma Thompson,emma.thompson@acmesystems.com,Senior Frontend Engineer,80cdd123-7cb1-4275-b158-fcd52d5e8aa2,2024-07-01T09:00:00
f0d148f5-e098-4eaa-870b-d589fba6615c,Raj Kumar,raj.kumar@acmesystems.com,Frontend Engineer,80cdd123-7cb1-4275-b158-fcd52d5e8aa2,2024-08-15T10:00:00
adc625fd-f6a6-44d7-bf7b-92d71d45b55f,Isabella Garcia,isabella.garcia@acmesystems.com,UI/UX Engineer,80cdd123-7cb1-4275-b158-fcd52d5e8aa2,2024-06-25T09:30:00
2dd2909c-bf44-48a6-9d5d-2a3134e432aa,Oliver Brown,oliver.brown@acmesystems.com,Frontend Engineer,80cdd123-7cb1-4275-b158-fcd52d5e8aa2,2024-09-10T08:45:00
133866d6-219d-4a0b-9b06-790911a11dae,Aisha Khan,aisha.khan@acmesystems.com,Lead Frontend Engineer,80cdd123-7cb1-4275-b158-fcd52d5e8aa2,2024-05-15T09:00:00
90e54eb1-57c5-4f6a-87d4-ca9c2c773103,Lucas Silva,lucas.silva@acmesystems.com,DevOps Engineer,b65de153-ae71-4a44-b822-7f207a017835,2024-07-20T10:00:00
e98e959b-a790-47c3-aa70-cec133949d8c,Yuki Tanaka,yuki.tanaka@acmesystems.com,Senior DevOps Engineer,b65de153-ae71-4a44-b822-7f207a017835,2024-06-15T09:00:00
8353699c-f48a-4c93-9e46-ad5527c2f01e,Sarah Connor,sarah.connor@acmesystems.com,Site Reliability Engineer,b65de153-ae71-4a44-b822-7f207a017835,2024-08-05T10:30:00
1bb33957-55ee-4478-9f12-f81689c7c967,Ahmed Hassan,ahmed.hassan@acmesystems.com,DevOps Engineer,b65de153-ae71-4a44-b822-7f207a017835,2024-09-01T09:15:00
01939827-99cc-4305-b05e-3650bcad908d,Nina Petrov,nina.petrov@acmesystems.com,Infrastructure Lead,b65de153-ae71-4a44-b822-7f207a017835,2024-05-10T08:30:00
0d369ac8-20f3-4893-96e6-a473857f8161,Daniel Kim,daniel.kim@techflow.com,Senior Product Manager,fcd2cdf7-89df-4aa0-a764-22fdc1c0909a,2024-06-01T09:00:00
0f14e79a-3ddb-4cc5-9623-31494526cc2b,Maria Rodriguez,maria.rodriguez@techflow.com,Product Manager,fcd2cdf7-89df-4aa0-a764-22fdc1c0909a,2024-07-10T10:00:00
d04c2497-1082-4fa7-8afb-3bf703154a31,James Wilson,james.wilson@techflow.com,Associate Product Manager,fcd2cdf7-89df-4aa0-a764-22fdc1c0909a,2024-08-20T09:30:00
d4f781fa-35c9-4281-a858-cef5bc0590e2,Fatima Ali,fatima.ali@techflow.com,Product Owner,fcd2cdf7-89df-4aa0-a764-22fdc1c0909a,2024-06-15T10:00:00
9396b757-25f8-49ad-9b48-0ef1592ea3ec,Thomas Anderson,thomas.anderson@techflow.com,VP Product,fcd2cdf7-89df-4aa0-a764-22fdc1c0909a,2024-04-01T08:00:00
8f9d1886-b18d-44c1-8e82-1120481f09d6,Dr. Alex Chen,alex.chen@techflow.com,Lead Data Scientist,d12da388-6025-422a-a216-4dec64b896ff,2024-05-15T09:00:00
727b79f1-6c2e-40e8-b7b5-2ca19330c217,Samantha Lee,samantha.lee@techflow.com,Data Scientist,d12da388-6025-422a-a216-4dec64b896ff,2024-07-01T10:00:00
10da8431-c41a-4dbd-890d-b0404efa0a9d,Vikram Singh,vikram.singh@techflow.com,ML Engineer,d12da388-6025-422a-a216-4dec64b896ff,2024-08-10T09:30:00
73e1c793-a0e5-4097-91b2-a2fd297cf476,Elena Popov,elena.popov@techflow.com,Data Analyst,d12da388-6025-422a-a216-4dec64b896ff,2024-06-20T10:15:00
42b1b358-5073-48e9-8e59-c30a8515b143,Mohammed Al-Rashid,mohammed.alrashid@techflow.com,Senior Data Scientist,d12da388-6025-422a-a216-4dec64b896ff,2024-05-01T09:00:00
5bb27f9f-8705-493b-a7b7-3e262121a60e,Katie O'Brien,katie.obrien@techflow.com,iOS Engineer,e6f7502a-5693-435f-87fa-0f633d0dc69d,2024-06-10T09:00:00
2ccc767e-78fb-4bc0-9b06-b400cf764fee,Andre Santos,andre.santos@techflow.com,Android Engineer,e6f7502a-5693-435f-87fa-0f633d0dc69d,2024-07-15T10:00:00
0a62b11a-5075-42d6-ac29-28149ebf507f,Zara Ahmed,zara.ahmed@techflow.com,Senior Mobile Engineer,e6f7502a-5693-435f-87fa-0f633d0dc69d,2024-05-25T09:30:00
7eb0494d-ff29-4e8b-890f-93881699bf24,Ryan Mitchell,ryan.mitchell@techflow.com,Mobile Architect,e6f7502a-5693-435f-87fa-0f633d0dc69d,2024-04-15T08:30:00
8d768217-c61b-4358-a9e0-8fa09b6ba069,Lily Zhang,lily.zhang@techflow.com,Mobile Engineer,e6f7502a-5693-435f-87fa-0f633d0dc69d,2024-08-01T10:00:00
ea92ac7e-6d83-47ef-88e0-90fbde02c93c,Max Weber,max.weber@datastream.io,Staff Platform Engineer,27017acb-6187-4878-8979-a8744b92f2be,2024-05-05T09:00:00
98863ec5-1248-464c-bf79-cd00605a0e5f,Ananya Gupta,ananya.gupta@datastream.io,Platform Engineer,27017acb-6187-4878-8979-a8744b92f2be,2024-07-20T10:00:00
b149c07c-de2f-4776-85e5-12676c41c5bd,Carlos Mendez,carlos.mendez@datastream.io,Senior Platform Engineer,27017acb-6187-4878-8979-a8744b92f2be,2024-06-01T09:30:00
9fc133d8-133f-45b2-86bc-8bbbd6331bec,Nora Jensen,nora.jensen@datastream.io,Platform Architect,27017acb-6187-4878-8979-a8744b92f2be,2024-04-10T08:00:00
033fd5a0-86d1-4ee0-957f-5e4442c258c5,Hiroshi Yamamoto,hiroshi.yamamoto@datastream.io,Platform Engineer,27017acb-6187-4878-8979-a8744b92f2be,2024-08-15T10:15:00
19c4e724-8b89-48d4-94e3-ed385964edeb,Diana Prince,diana.prince@datastream.io,Security Engineer,6625de60-4fc4-4255-b9f2-cc285b025bb7,2024-06-05T09:00:00
d4b58306-9278-49d6-b105-2ed4265fe5c2,Kevin Hart,kevin.hart@datastream.io,Senior Security Engineer,6625de60-4fc4-4255-b9f2-cc285b025bb7,2024-05-20T10:00:00
a9715902-1647-4f5f-8fd7-6c1c97fea58e,Natasha Romanoff,natasha.romanoff@datastream.io,Security Architect,6625de60-4fc4-4255-b9f2-cc285b025bb7,2024-04-15T08:30:00
e03200e3-c1a0-4d4e-aa94-4a423450cb10,Bruce Wayne,bruce.wayne@datastream.io,Security Engineer,6625de60-4fc4-4255-b9f2-cc285b025bb7,2024-07-10T09:30:00
80361947-f1e0-4ec5-b4ad-a68720e79f98,Selina Kyle,selina.kyle@datastream.io,AppSec Engineer,6625de60-4fc4-4255-b9f2-cc285b025bb7,2024-08-05T10:00:00
e2ae1c89-8298-4783-b8b3-6ddf6e78caa6,Tina Fey,tina.fey@datastream.io,QA Engineer,e36855cf-a8d3-47ff-9e45-e8b975d44cf2,2024-06-15T09:00:00
06d791c4-9820-481c-bef8-76b34648201b,Oscar Martinez,oscar.martinez@datastream.io,Senior QA Engineer,e36855cf-a8d3-47ff-9e45-e8b975d44cf2,2024-05-10T10:00:00
8217fa76-d772-490b-9204-b620c8f0d1c5,Pam Beesly,pam.beesly@datastream.io,QA Lead,e36855cf-a8d3-47ff-9e45-e8b975d44cf2,2024-04-20T08:30:00
ac6a9934-79d3-41d9-aa7b-d0c153ac60ce,Jim Halpert,jim.halpert@datastream.io,Test Automation Engineer,e36855cf-a8d3-47ff-9e45-e8b975d44cf2,2024-07-25T09:30:00
bb705b6d-5f90-4e52-8337-b4f1c544aa7a,Dwight Schrute,dwight.schrute@datastream.io,QA Engineer,e36855cf-a8d3-47ff-9e45-e8b975d44cf2,2024-08-20T10:15:00
dc0c8201-c3c5-4863-896b-8550b5ab12e6,Tony Stark,tony.stark@cloudnexus.com,Infrastructure Engineer,f8a3453a-dcd0-4ef5-aa39-068650aae703,2024-05-15T09:00:00
9c36dbe6-b919-444d-a422-0dbdf68fc599,Pepper Potts,pepper.potts@cloudnexus.com,Senior Infrastructure Engineer,f8a3453a-dcd0-4ef5-aa39-068650aae703,2024-06-10T10:00:00
65cb8643-8fc7-4e88-9666-e9c9ff874a1f,Steve Rogers,steve.rogers@cloudnexus.com,Cloud Architect,f8a3453a-dcd0-4ef5-aa39-068650aae703,2024-04-05T08:30:00
ab73b6ac-aed6-475e-b653-3d8292aa2ef8,Natalie Porter,natalie.porter@cloudnexus.com,Infrastructure Engineer,f8a3453a-dcd0-4ef5-aa39-068650aae703,2024-07-30T09:30:00
0c6d0ad4-4fac-4a2a-ab38-56091468a39f,Thor Odinson,thor.odinson@cloudnexus.com,Infrastructure Lead,f8a3453a-dcd0-4ef5-aa39-068650aae703,2024-05-01T09:00:00
